2.5 -176.05945945945945 280.652 
7.5 -528.7864864864865 -1022.393 
12.5 -847.3418918918919 -3568.197 
17.5 -1101.0783783783784 -7173.844 
22.5 -1266.0108108108107 -11555.291 
27.5 -1306.5108108108109 -16318.67 
32.5 -1220.0797297297297 -20969.021 
37.5 -1031.464864864865 -25104.99 
42.5 -753.0324324324325 -28374.057 
47.5 -405.5567567567568 -30484.055 
52.5 -16.774324324324326 -31232.053 
57.5 380.5405405405406 -30527.373 
62.5 751.0540540540541 -28405.172 
67.5 1059.7608108108107 -25030.273 
72.5 1274.6824324324325 -20691.375 
77.5 1365.827027027027 -15796.74 
82.5 1316.627027027027 -10834.34 
87.5 1121.710810810811 -6321.754 
92.5 780.2837837837837 -2799.791 
97.5 300.56216216216217 -795.646 
